t,price_usd_close,marketcap_realized_usd,lth_sum,sth_sum,rhodl_ratio,rcap_sma_zscore,rcap_upper,rcap_lower,sthlth_sma_meandev,sthlth_upper,sthlth_lower,rhodl_sma_maxmin,rhodl_upper,rhodl_lower
2024-04-01,69704.08885361027,551456496003.761,939288206904.6196,225204735141.19183,5520.48314465692,15.90031893044554,8.868750443835243,0.3839545281959005,0.23804124080077843,0.19305099431762093,0.15617890458817704,8.72563674278154,8.871252484620287,7.540151367657498
2024-04-02,65458.84823298128,553098114306.4873,880702661010.2103,211850354228.69907,5625.909622804926,15.57270939448246,9.018788972136425,0.4048152330538173,0.23871521838936757,0.1937238725387146,0.15636031092151959,8.701299198776839,8.871252484620287,7.541445231042178
2024-04-03,66041.84638252274,553913408786.5497,888688489845.4409,214262535953.2835,5806.060341946402,15.16698674654421,9.158461090824247,0.43113298063511163,0.2394183214432389,0.19440346362838917,0.15654302729529185,8.685271549970908,8.871252484620287,7.541445231042178
2024-04-04,68539.45602108122,554511328195.163,920797146402.198,223312588402.72,5750.279628389381,14.655561179332125,9.286515033463697,0.4629611942579288,0.2399657032028458,0.19508802120673768,0.15672632945819664,8.669627202846472,8.871252484620287,7.541445231042178
2024-04-05,67887.10700078699,554914107002.3995,912126688434.0562,221111539154.08087,5824.2577578671,14.120695659898587,9.40331853452471,0.49973194738717197,0.24049383624110274,0.19577731454698466,0.15691029543415763,8.6563347780051,8.871252484620287,7.541445231042178
2024-04-06,68960.28535495602,555532684336.2902,926425136012.9222,224545510562.35623,5893.863572905967,13.565113843147868,9.509270543023082,0.5408184314169988,0.2410480002050726,0.1964716234715008,0.15709585589469963,8.656950388173124,8.871252484620287,7.541445231042178
2024-04-07,69374.90042085954,555982719870.7438,933416473906.4752,225976154833.97403,5821.14889137773,13.019615275834736,9.605230920982123,0.5854913979571466,0.2415451541996376,0.197170304449373,0.15728321645942334,8.65653238226437,8.871252484620287,7.541445231042178
2024-04-08,71634.15423038145,557297598063.5718,962749134506.4072,232972147158.99103,4558.355203980499,12.409220764436588,9.69088698521863,0.6333639244088038,0.24186305264503677,0.19787135759966692,0.1574711682152706,8.629174735823204,8.871252484620287,7.541445231042178
2024-04-09,69148.7225107242,557977939126.7151,929146741456.632,224802932827.9585,4344.403946284839,11.754845452991523,9.766337542593615,0.6838958569083173,0.24206285223452234,0.1985734657315291,0.15766067693707517,8.592247010401353,8.871252484620287,7.541445231042178
2024-04-10,70514.28371120086,558430176155.9526,947392390733.8055,229740296713.40463,4002.74673373736,11.062549882033213,9.831834509135488,0.736502779907827,0.24226253829222738,0.19927662248611508,0.1578533771208275,8.539115374731947,8.871252484620287,7.541445231042178
2024-04-11,70090.10010874529,559106924121.3445,940818275902.2104,228239031672.7867,3672.692978638185,10.428956561120327,9.88883491698165,0.7904302993433676,0.24227330401901512,0.1999787248385863,0.15804990809714714,8.47506918758546,8.871252484620287,7.541445231042178
2024-04-12,67246.1811739544,559745759688.45,902101118537.9965,219103003020.57156,3702.6649456250607,9.766291174643062,9.937649268536017,0.8450742613364159,0.24234009954560728,0.20068038235597704,0.15825014030544612,8.410357937324658,8.871252484620287,7.541445231042178
2024-04-13,64459.339491542734,559673755416.2639,866037848363.1503,210324316007.01736,3663.160352700419,9.136174727664079,9.979265980874317,0.8998076549660379,0.2424086191610826,0.20138158892032973,0.1584529194934762,8.342417154738554,8.871252484620287,7.541445231042178
2024-04-14,65771.22528599312,559733696342.0859,883166845819.9596,214487922563.03177,3709.2754702366938,8.567710554378857,10.014849281721371,0.9541177913645962,0.24251812585643365,0.20208276910787834,0.158658106336218,8.278037000485371,8.871252484620287,7.541445231042178
2024-04-15,63488.451171049936,560091738449.3165,852000486055.3103,207563390208.09283,3528.3135886267896,7.9917432522706395,10.044810806157006,1.0075519409118323,0.24275134236332235,0.20278525759151375,0.15886778906891516,8.241445309382945,8.871252484620287,7.541445231042178
2024-04-16,63749.04751670838,560581311154.8495,855942729351.4358,209056480101.36716,3293.502169062158,7.407376628914337,10.069556557857517,1.0597844225209458,0.24307929042332382,0.20349006382764825,0.15908079210447792,8.201882869369022,8.871252484620287,7.541445231042178
