t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,Price Momentum,Spot CVD Bias,Spot Volume Momentum,aggregate_indicator_equalweight,aggregate_indicator_PCA
2022-09-29,19542.477991447384,-24528512.391820237,13312519576.082855,0.18122031608630995,0.041475100595194325,0.692819089722176,0.30517150213456007,0.121222326970581
2022-09-30,19451.411178051847,-79488199.1755463,14548086319.02574,0.13228719349784734,-0.04808688087812396,0.6876605396374498,0.25728695075239105,0.05364426255982924
2022-10-01,19309.761423934586,-34043939.4685086,5061383898.763715,-0.07690227293945984,-0.05083192441677675,0.5911929643818574,0.15448625567520693,-0.05470186258336618
2022-10-02,19047.29313787495,-75514403.14779548,6296142247.004362,0.08531090352470394,-0.048766550674884,0.5512046412874387,0.19591633137908623,0.02475648678625464
2022-10-03,19623.384251089832,65036777.83856088,9889162635.69684,0.26952547345906974,0.026384079842242336,0.35509204926135207,0.21700053418755472,0.14419136314983527
2022-10-04,20336.30525179335,198201495.6990691,11937078864.31293,0.8140747055163668,0.4444720362351162,-0.005452768836721522,0.41769799097158716,0.6004675275729985
2022-10-05,20166.13187675746,-52265712.290183336,11284209425.515388,0.9093513767300134,0.3878029264139411,-0.5396750822584379,0.25249307362850554,0.5990587358884591
2022-10-06,19952.078905905397,-65051766.364011526,12234896996.562532,0.501620714004346,0.3604650228341335,-0.573823139572117,0.09608753242212087,0.383336384974569
2022-10-07,19545.95094878133,-234245893.50707343,8889907678.400444,0.3527682348747505,0.09480466454580339,-0.7869380448121792,-0.11312171513054177,0.17325595670742389
2022-10-08,19412.58427765209,-104666329.03870942,3652754359.842085,0.466284584077294,-0.026427235408753247,-0.8281677575409425,-0.12943680295746726,0.16912373695338756
2022-10-09,19443.80179746376,6367689.390873795,4060010935.3471465,0.5618467660148632,0.11413331077398725,-0.9065851841371597,-0.0768683691161031,0.2810298609832165
2022-10-10,19141.06149373096,-133824097.79562904,7702827649.578489,0.21357423253985064,-0.22723550903626977,-0.9921264868981874,-0.3352625877982021,-0.0589600374741962
